ID,DOB,GENERATION,FAMILY,F1_UP,F3_FOOT,F4_LIGHTNING,F5_BI,F6_OWL,F7_FROG,F8_BOY,F9_HOLE,F10_TURTLE,F11_SICK,F12_WATER,F13_CAR,F14_HAPPY,F15_BIRD,F16_DOG,F17_GIRL,F18_NEST,F19_MOTHER,F20_FATHER,F21_BARRA,F22_BUTTERFLY,F23_TEA,F24_BOTTLE,F25_FENCE,F26_BEEHIVE,F27_NOSE,F28_HEAD,F29_HORSE,F30_SNAKE,F31_GOANNA,F32_ONE,F33_TREE,F34_CLOSE,F35_FAR,F36_FAMILY,F37_OUR,F38_WHAT,F39_WHERE,F40_Next_to,F41_WHITEFELLA,F42_LITTLE,F43_BIG,F44_FIRE,F45_AHEAD,F46_HUSBAND,F48_WHATSIT,F49_THREE,F50_EYE,F51_WOMAN,F52_SHADE,F53_FISH,F54_MOUTH,F55_ROCK,F56_RETURN,F57_SQUASH,F58_LOOK,F59_SEARCH,F60_BLEED,F61_FISHING,F62_BITE,F63_LICK,F64_JUMP,F65_CLIMB,F66_CRY,F67_CHASE,F68_QUIET,F69_SLEEP,F70_STEAL,F71_WALK,F72_HUNT,F73_HIT_HEAD,F74_EAT,F76_SIT,F77_SHOW,F78_WAIT,F79_LISTEN,F80_TALK,F81_ALL,F82_DISCOURSE,F83_THEN,F84_BANG_ON,F85_ADJ,F86_TOPIC,F87_HERE,F88_OBLIQUE,F89_DETERMINER,F90_NSD,F91_PLURAL,F92_ALLATIVE,F93_DATIVE,F94_PROP,F95_DATIVE,F96_ERGATIVE,F97_ABLATIVE,F98_DATIVE,F99_FACTIVE,F100_INSTRUMENTAL,F101_LOCATIVE,F102_CASE AGREEMENT,F103_SUBJECT MARKING,F104_CASE ALIGNMENT,F105_INSUB,F106_REDUCED SUBORDINATE CLAUSE,F107_AGAIN,F108_PASSIVE,F109_PLACEMENT,F110_ACCOMPANIMENT,F111_MOTION,F112_CAUSATIVE,F113_IMPERATIVE,F114_IMPERATIVE,F115_PAST_TENSE,F116_NEGATION,F117_COPULA,F118_GO,F119_HIT,F120_SUBOR,F121_kayirra_s,F122_kurlarra_s,F123_kaarnirra_s,F124_karlarra_s,F125_D_s,F126_K_s,F127_TC_s,F128_HC_s,F129_PH_s,F130_J_s,F133_kayirra_p,F134_kurlarra_p,F135_kaarnirra_p,F136_karlarra_p,F137_AS_p,F138_AS_east,F139_D_p,F140_K_p,F141_TC_p,F142_HC_p,F143_PH_p,F144_J_p,F145_Absolute,F147_yawarta_c,F148_yiparrartu_c,F149_kurrurij_c,F150_warrija_c,F152_marlimarli_c,F153_warlawurru_c,F154_wirnangpurru_c,F157_jamana_c,F158_jitji_c,F159_tingarri_c,F161_tarru_c,F162_lungarn_c,F163_barra_c,F164_jalany_c,F166_prickle_c,F167_tree_c,F168_yuka_c,F169_wamala_c,F171_boy_c,F172_jawi_c,F174_juru_c,F175_ngarin_c,F176_makarta_c,F178_pinka_c,F179_marru_c,F180_maarn_c,F182_marrinyjirla_c,F183_jawurt_c,F184_pangarra_c
P039,1940,Gen1,1,1,3,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,5,1,2,2,1,1,2,1,1,5,2,1,1,2,2,2,2,2,3,1,4,1,3,5,1,1,1,2,1,1,1,1,2,4,2,3,2,2,1,1,1,1,1,1,1,2,4,2,1,3,1,1,2,5,2,2,2,2,2,1,5,1,1,1,3,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,0,1,3,2,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P106,1920,Gen1,3,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,3,1,1,2,1,1,2,1,3,1,1,1,4,2,3,3,1,1,1,2,2,1,3,1,1,1,5,3,2,1,1,1,1,1,1,1,1,1,2,1,1,7,1,3,1,5,1,1,1,2,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P161,1920,Gen1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,3,2,2,1,4,2,7,5,2,1,1,2,1,1,1,1,1,1,2,3,2,2,1,1,2,1,2,2,2,2,2,1,1,3,1,1,1,5,2,1,1,2,3,1,4,1,1,1,2,1,2,1,1,1,1,2,1,1,1,4,1,1,2,1,1,1,0,1,6,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P162,1920,Gen1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1,1,3,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
P163,1920,Gen1,9,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1,1,3,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
P105,1935,Gen1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,5,1,2,1,1,1,1,1,2,4,2,2,1,1,1,2,3,2,1,1,4,2,7,6,1,1,1,1,1,2,3,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,4,1,1,1,1,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0,1,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
P082,1934,Gen1,9,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,4,1,2,2,1,1,1,1,1,5,2,2,1,1,1,2,1,1,1,1,4,2,7,4,1,2,1,2,1,2,3,1,1,4,1,3,2,1,1,1,2,1,1,1,1,1,4,1,1,1,1,3,2,5,2,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,1,3,2,1,1,1,0,1,6,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
P053,1992,Gen2,1,1,3,3,3,1,1,2,3,3,2,2,2,4,1,1,3,3,3,3,5,3,2,3,3,6,1,1,1,6,1,2,2,3,3,3,1,3,5,6,1,2,7,5,1,3,3,3,1,5,4,2,2,1,4,1,2,3,2,3,3,3,2,1,1,6,5,1,1,3,3,1,3,5,3,2,3,3,6,1,15,1,2,1,1,1,2,0,3,3,4,4,3,1,5,3,2,4,4,2,3,2,1,2,6,2,1,3,0,0,1,0,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P058,1990,Gen2,3,1,3,3,3,1,1,3,3,3,1,2,2,4,1,1,3,3,3,3,5,3,3,3,3,6,1,1,1,6,3,3,3,3,3,3,1,2,5,6,1,1,1,5,3,3,3,3,1,7,4,2,2,1,4,2,3,3,1,3,3,3,3,1,1,3,5,1,1,4,3,1,5,5,3,3,3,3,6,1,17,1,3,1,1,1,2,0,4,4,4,2,1,0,4,3,2,4,4,2,3,2,1,2,6,2,1,3,0,0,1,0,3,3,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P026,1989,Gen2,3,1,3,1,3,1,1,2,3,3,1,1,2,3,1,1,3,3,3,3,5,3,1,3,3,6,1,1,1,6,3,3,3,3,3,3,1,3,5,6,1,2,5,5,1,3,3,3,1,6,4,1,3,3,4,2,2,3,1,3,2,1,2,1,1,2,5,1,1,4,3,2,3,5,3,3,3,3,5,1,17,2,3,1,1,1,1,0,4,4,4,2,2,0,5,3,2,4,4,2,3,2,1,2,6,2,1,3,0,0,0,0,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
P037,1977,Gen2,1,1,2,3,3,1,1,2,2,2,1,2,1,3,1,1,2,3,2,3,5,3,1,3,2,5,1,1,1,5,2,2,2,3,2,3,1,2,5,4,1,2,7,4,2,2,2,3,1,6,1,2,2,1,2,1,2,2,1,3,2,1,2,1,2,6,4,1,1,3,3,1,2,3,3,2,2,2,6,1,5,1,2,1,1,2,1,0,3,5,2,2,1,1,5,4,2,3,2,3,3,2,1,3,6,2,2,1,1,1,1,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P059,1980,Gen2,3,1,3,3,3,2,1,3,2,3,1,1,2,3,1,1,3,3,3,3,5,3,2,3,2,6,1,1,1,6,2,3,3,3,1,3,1,3,4,4,1,2,7,5,3,3,3,3,1,7,4,3,1,1,4,1,2,2,1,3,3,1,1,1,1,1,1,1,1,1,3,1,3,5,3,2,3,3,5,1,14,2,3,1,1,1,1,0,2,5,2,2,1,0,5,3,2,4,4,2,3,2,0,2,6,2,1,3,0,0,0,0,3,3,3,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P107,1986,Gen2,3,1,3,3,3,1,1,2,3,2,1,1,2,3,1,1,3,2,3,3,5,3,3,3,3,6,1,1,2,6,2,3,2,3,3,3,1,3,4,5,1,2,3,5,3,3,3,3,1,6,4,3,2,1,4,2,2,3,1,3,3,1,2,1,1,1,5,1,1,3,3,1,3,5,3,1,3,3,4,0,13,2,3,1,5,1,1,0,4,4,2,2,3,0,3,3,2,4,4,2,3,1,1,2,6,2,1,3,0,0,0,0,3,3,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P109,1980,Gen2,7,1,3,3,3,1,1,2,3,3,1,2,2,4,1,1,3,3,2,3,5,3,1,3,3,4,1,1,5,6,3,2,4,3,3,1,1,2,6,2,1,2,7,5,1,2,3,3,1,6,3,2,1,1,3,2,2,2,1,3,2,1,1,1,1,3,2,1,1,3,3,3,2,5,3,1,2,3,4,1,7,2,2,1,1,1,1,1,2,5,2,2,2,0,5,3,2,4,4,3,3,2,1,3,6,2,1,3,0,0,1,0,3,4,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P025,1992,Gen2,3,1,3,3,3,1,1,2,3,3,2,1,2,4,1,1,3,3,2,3,5,3,3,3,3,5,1,1,4,6,3,2,3,3,3,3,1,3,4,6,1,2,7,5,3,3,3,3,1,6,4,2,1,1,4,2,3,2,1,3,3,3,2,1,1,2,5,1,1,3,3,1,3,5,3,2,3,3,6,1,16,1,3,1,1,1,1,0,4,4,5,2,2,0,3,3,2,4,4,2,3,2,1,2,6,2,1,3,0,0,1,0,3,3,3,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
P102,1992,Gen2,3,1,3,3,3,1,1,3,3,3,1,1,2,4,1,1,3,3,3,3,5,3,3,3,3,6,1,1,2,6,3,3,3,3,3,3,1,3,4,6,1,1,2,5,3,3,3,3,1,7,4,3,3,1,4,2,3,3,3,3,3,3,3,1,1,3,5,1,1,4,3,1,5,5,3,3,3,3,4,0,13,3,3,0,5,1,1,0,4,4,4,2,4,0,6,3,3,4,3,2,3,2,0,2,4,2,1,3,0,0,0,0,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P032,1985,Gen2,5,1,3,3,3,1,1,3,3,3,1,1,2,4,1,1,3,3,2,3,5,3,2,3,3,7,1,1,4,6,2,2,3,3,3,3,1,2,5,4,1,2,3,5,2,3,3,3,1,6,4,2,3,1,4,3,2,2,1,2,2,1,1,1,1,2,4,1,1,7,3,1,3,5,3,2,3,3,6,1,8,2,2,1,1,1,1,0,3,5,2,2,1,0,5,3,2,4,2,3,3,2,1,3,6,2,1,3,0,0,1,0,3,4,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P027,1983,Gen2,5,1,3,3,3,1,1,2,3,3,2,1,2,3,1,1,3,3,3,3,5,3,3,3,3,6,1,1,4,6,2,2,2,3,3,3,1,2,5,4,1,2,7,5,1,3,3,3,1,5,4,1,3,1,4,1,2,2,1,3,3,1,2,1,1,5,3,1,1,7,3,1,3,5,3,1,3,3,4,1,3,1,2,1,1,1,1,1,2,5,2,2,2,0,5,3,3,4,2,3,3,2,1,3,6,2,1,3,0,0,1,0,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P110,1993,Gen2,2,1,3,3,3,1,1,2,3,3,2,1,2,3,1,1,2,3,3,3,5,3,3,3,3,4,1,1,4,6,3,3,3,3,3,3,1,3,4,4,1,2,1,5,3,3,3,3,1,7,4,3,3,2,4,1,2,3,3,3,3,3,3,1,1,3,5,1,1,3,3,1,5,5,3,3,3,3,6,0,14,2,3,1,5,1,1,0,2,4,4,2,1,1,5,3,3,4,2,2,3,2,1,2,6,2,1,1,0,0,0,0,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P078,1974,Gen2,5,1,3,3,3,1,1,3,2,3,1,2,2,3,1,1,3,3,2,2,5,3,2,3,1,2,1,2,6,6,3,2,4,3,2,2,1,2,5,6,1,2,7,5,2,2,3,3,1,6,3,1,2,1,2,1,2,2,1,3,2,1,2,1,1,2,3,1,1,3,3,3,3,5,3,2,2,2,6,1,11,2,2,1,4,1,1,0,3,5,2,2,2,0,5,3,2,3,2,2,3,2,1,2,3,2,1,1,0,0,1,1,3,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
P023,1983,Gen2,5,1,1,3,3,1,1,2,2,3,1,2,2,4,1,1,3,3,2,2,5,3,3,3,3,6,1,1,1,7,3,2,2,3,3,2,1,2,5,5,1,2,3,5,2,1,3,3,1,6,1,1,3,1,4,3,2,2,1,3,2,1,2,1,1,5,3,1,1,7,3,1,2,5,3,1,2,2,6,1,6,1,2,1,4,1,1,0,2,5,2,2,2,0,5,3,2,4,4,3,3,2,1,2,6,2,1,1,0,0,0,0,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
